path,subject,n_events,n_protraction,n_retraction,base_predictive_score,phase_predictive_score,delta_predictive_score,response_window_ms,minimum_neighbor_ms,endpoint,base_model,phase_basis,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high
sub-anm217330/sub-anm217330_ses-20131126_behavior+icephys+ogen.nwb,anm217330,339,313,26,0.02043107103353914,0.01906966523565312,-0.0013614057978860172,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm226692/sub-anm226692_ses-20140224_behavior+icephys+ogen.nwb,anm226692,640,525,115,0.021364250266624363,0.035975283835577465,0.014611033568953102,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm226694/sub-anm226694_ses-20140222_obj-1noi7y3_behavior+icephys+ogen.nwb,anm226694,367,275,92,0.005800734555963971,0.0017381599892924982,-0.004062574566671473,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm226694/sub-anm226694_ses-20140222_obj-cj20ns_behavior+icephys+ogen.nwb,anm226694,362,311,51,0.07688370787090404,0.07711989769762229,0.00023618982671824718,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm226694/sub-anm226694_ses-20140225_behavior+icephys+ogen.nwb,anm226694,478,293,185,0.03202096946920341,0.10638005701136122,0.07435908754215781,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm226695/sub-anm226695_ses-20140225_behavior+icephys+ogen.nwb,anm226695,154,103,51,-0.05598497402229885,0.13473140087445146,0.1907163748967503,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm234230/sub-anm234230_ses-20140119_behavior+icephys+ogen.nwb,anm234230,290,230,60,0.014607803411852527,0.019239040737102364,0.004631237325249837,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm234231/sub-anm234231_ses-20140126_behavior+icephys+ogen.nwb,anm234231,184,141,43,0.007061684824107739,0.0017858508642661919,-0.005275833959841547,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm234232/sub-anm234232_ses-20140108_behavior+icephys+ogen.nwb,anm234232,282,202,80,0.0321532462447619,0.04017565611815843,0.00802240987339653,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm244024/sub-anm244024_ses-20141112_obj-8tj80c_behavior+icephys+ogen.nwb,anm244024,107,91,16,-0.013398821565962837,-0.007622739638684983,0.005776081927277854,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm244025/sub-anm244025_ses-20141026_obj-1q7bmz0_behavior+icephys+ogen.nwb,anm244025,212,163,49,0.011727091558288882,0.009261284833964711,-0.002465806724324171,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm244025/sub-anm244025_ses-20141026_obj-gspsia_behavior+icephys+ogen.nwb,anm244025,110,83,27,0.0240713838395068,0.14808513871595075,0.12401375487644395,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm244028/sub-anm244028_ses-20141021_obj-15ygrjz_behavior+icephys+ogen.nwb,anm244028,105,89,16,0.06578726140098723,0.08605233599947126,0.020265074598484034,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
