merge_a,merge_b,analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon
anm244024,jf35892,baseline_subtracted_rate,50,40.0,50,19,0.03572758811009815,11,19,0.14468765258789062,0.6476058959960938,0.24114608764648438
anm244024,jf35892,baseline_subtracted_rate,50,40.0,100,18,0.001002189184161875,9,18,0.932281494140625,1.0,1.0
anm244024,jf35892,baseline_subtracted_rate,50,40.0,250,2,-0.11625109158556345,0,2,0.5,0.5,0.6521739130434783
anm244024,jf35892,baseline_subtracted_rate,50,50.0,0,19,0.1247318855808731,15,19,0.003917694091796875,0.0192108154296875,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,50.0,20,19,0.1142221059854526,13,19,0.012359619140625,0.1670684814453125,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,50.0,30,19,0.1491383290226794,13,19,0.01082611083984375,0.1670684814453125,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,50.0,50,19,0.0779004707109224,12,19,0.0289306640625,0.359283447265625,0.0542449951171875
anm244024,jf35892,baseline_subtracted_rate,50,50.0,100,18,-0.005786711768979576,9,18,0.7660293579101562,1.0,0.9192352294921875
anm244024,jf35892,baseline_subtracted_rate,50,50.0,250,2,-0.10658187192309415,0,2,0.5,0.5,0.6521739130434783
anm244024,jf37166,post_only,10,,0,20,0.011978243662797351,11,20,0.956329345703125,0.8238029479980469,0.9843215942382812
anm244024,jf37166,post_only,10,,20,20,0.005824292834571449,10,20,0.8694877624511719,1.0,0.9660975138346354
anm244024,jf37166,post_only,10,,30,19,-0.0049163615173358,9,19,0.9843215942382812,1.0,0.9843215942382812
anm244024,jf37166,post_only,10,,50,19,-0.01228320199144805,9,19,0.6507492065429688,1.0,0.7839555006760818
anm244024,jf37166,post_only,10,,100,18,-0.0180450292087564,7,18,0.9661178588867188,0.480682373046875,0.9843215942382812
anm244024,jf37166,post_only,10,,250,3,-0.0928174314796179,0,3,0.25,0.25,0.6219863891601562
anm244024,jf37166,post_only,20,,0,20,0.0123504181298809,11,20,0.5216732025146484,0.8238029479980469,0.7452474321637835
anm244024,jf37166,post_only,20,,20,20,0.020037280086167605,12,20,0.34881019592285156,0.5034446716308594,0.6219863891601562
anm244024,jf37166,post_only,20,,30,19,0.0026781620020156997,10,19,0.3524589538574219,1.0,0.6219863891601562
anm244024,jf37166,post_only,20,,50,19,0.038010197878541,13,19,0.06628799438476562,0.1670684814453125,0.6219863891601562
anm244024,jf37166,post_only,20,,100,18,0.02889065762054295,11,18,0.24620819091796875,0.480682373046875,0.6219863891601562
anm244024,jf37166,post_only,20,,250,3,-0.0956687218878489,0,3,0.25,0.25,0.6219863891601562
